home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Ghana,Australia,2,,,1,,,,,,,19132,"PGE Park, Portland",Xonam Agboyi (Referee) · Perpetue Krebe (AR1) · Florence Biagui (AR2) · Kari Seitz (4th),Group stage,2003-09-28,2–1,Xonam Agboyi,,United States,2003,Alberta Sackey · 34’|Alberta Sackey · 39’,Heather Garriock · 61’,"['34’|1:0|Alberta Sackey', '39’|2:0|Alberta Sackey']",['61’|2:1|Heather Garriock'],,,,,,,,,,,,,,,['59’|2:0|Lydia Ankrah'],['52’|2:0|Heather Garriock'],"['67’|2:1|Myralyn Osei Agyemang|for Gloria Foriwa', '75’|2:1|Yaa Avoe|for Mavis Danso', '90+1’|2:1|Akua Anokyewaa|for Myralyn Osei Agyemang']","['33’|0:0|Bryony Duus|for Tal Karp', '43’|2:0|April Mann|for Gillian Foster', '90’|2:1|Pamela Grant|for Karla Reuter']"
China PR,Russia,1,,,0,,,,,,,19132,"PGE Park, Portland",Florencia Romano (Referee) · Sabrina Lois (AR1) · Alejandra Cercato (AR2) · Kari Seitz (4th),Group stage,2003-09-28,1–0,Florencia Romano,,United States,2003,Bai Jie · 16’,,['16’|1:0|Bai Jie'],,,,,,,,,,,,,,,,,['90’|1:0|Elena Fomina'],"['55’|1:0|Qu Feifei|for Bi Yan', '62’|1:0|Ren Liping|for Zhao Lihong']",['66’|1:0|Tatyana Skotnikova|for Olga Letyushova']
France,Brazil,1,,,1,,,,,,,17618,"Robert F. Kennedy Memorial Stadium, Washington",Cristina Babadac (Referee) · Irina Mirt (AR1) · Katarzyna Wierzbowska (AR2) · Sandra Hunt (4th),Group stage,2003-09-27,1–1,Cristina Babadac,,United States,2003,Marinette Pichon · 90+2’,Kátia · 58’,['90+2’|1:1|Marinette Pichon'],['58’|0:1|Kátia'],,,,,,,,,,,,,,,['72’|0:1|Peggy Provost'],['51’|0:0|Daniela Alves Lima'],"['46’|0:0|Laëtitia Tonazzi|for Stéphanie Mugneret-Béghé', '73’|0:1|Amélie Coquet|for Élodie Woock', '85’|0:1|Hoda Lattaf|for Sabrina Viguier']","['46’|0:0|Cristiane|for Priscila Faria de Oliveira', '88’|0:1|Mônica|for Tânia Maria']"
Korea Republic,Norway,1,,,7,,,,,,,14356,"Gillette Stadium, Foxborough",Tammy Ogston (Referee) · Airlie Keen (AR1) · Jacqueline Leleu (AR2) · Nicole Petignat (4th),Group stage,2003-09-27,1–7,Tammy Ogston,,United States,2003,Kim Jin-hee · 75’,Solveig Gulbrandsen · 5’|Dagny Mellgren · 24’|Dagny Mellgren · 31’|Marianne Pettersen · 40’|Brit Sandaune · 52’|Linda Ørmen · 80’|Linda Ørmen · 90’,['75’|1:5|Kim Jin-hee'],"['5’|0:1|Solveig Gulbrandsen', '24’|0:2|Dagny Mellgren', '31’|0:3|Dagny Mellgren', '40’|0:4|Marianne Pettersen', '52’|0:5|Brit Sandaune', '80’|1:6|Linda Ørmen', '90’|1:7|Linda Ørmen']",,,,,,,,,,,,,,,,,"['30’|0:2|Kim Yoo-jin|for Han Jin-sook', '55’|0:5|Jin Suk-hee|for Kim Yu-jin', '59’|0:5|Hong Kyung-suk|for Park Eun-sun']","['69’|0:5|Linda Ørmen|for Trine Rønning', '73’|0:5|Ingrid Fosse|for Solveig Gulbrandsen', '81’|1:6|Hege Riise|for Lise Klaveness']"
Canada,Japan,3,,,1,,,,,,,14356,"Gillette Stadium, Foxborough",Im Eun-ju (Referee) · Soo Jin Choi (AR1) · Kum Nyo Hong (AR2) · Nicole Petignat (4th),Group stage,2003-09-27,3–1,Im Eun-ju,,United States,2003,Christine Latham · 36’|Christine Sinclair · 49’|Kara Lang · 72’,Homare Sawa · 20’,"['36’|1:1|Christine Latham', '49’|2:1|Christine Sinclair', '72’|3:1|Kara Lang']",['20’|0:1|Homare Sawa'],,,,,,,,,,,,,,,['45+1’|1:1|Isabelle Morneau'],,"['60’|2:1|Silvana Burtini|for Christine Latham', '77’|3:1|Kristina Kiss|for Andrea Neil', '85’|3:1|Rhian Wilkinson|for Kara Lang']","['54’|2:1|Eriko Arakawa|for Yayoi Kobayashi', '62’|2:1|Miyuki Yanagita|for Tomoe Kato', '89’|3:1|Aya Miyama|for Emi Yamamoto']"
Argentina,Germany,1,,,6,,,,,,,17618,"Robert F. Kennedy Memorial Stadium, Washington",Bola Abidoye (Referee) · Elke Luethi (AR1) · Hsiu Mei Liu (AR2) · Sandra Hunt (4th),Group stage,2003-09-27,1–6,Bola Abidoye,,United States,2003,Yanina Gaitán · 71’,Maren Meinert · 3’|Birgit Prinz · 32’|Maren Meinert · 43’|Conny Pohlers · 89’|Martina Müller · 90+2’,['71’|1:4|Yanina Gaitán'],"['3’|0:1|Maren Meinert', '32’|0:3|Birgit Prinz', '43’|0:4|Maren Meinert', '89’|1:5|Conny Pohlers', '90+2’|1:6|Martina Müller']",,,,Bettina Wiegmann (P) · 24’,,,,,,,,,,,,,"['56’|0:4|Yanina Gaitán|for Rosana Gómez', '85’|1:4|Karina Alvariza|for María Villanueva']","['46’|0:4|Martina Müller|for Stefanie Gottschlich', '46’|0:4|Conny Pohlers|for Kerstin Garefrekes', '62’|0:4|Sonja Fuss|for Steffi Jones']"
Ghana,Russia,0,,,3,,,,,,,13929,"The Home Depot Center, Carson",Kari Seitz (Referee) · Karalee Sutton (AR1) · Sharon Wheeler (AR2) · Jennifer Bennett (4th),Group stage,2003-09-25,0–3,Kari Seitz,,United States,2003,,Marina Saenko · 36’|Natalia Barbashina · 54’|Olga Letyushova · 80’,,"['36’|0:1|Marina Saenko', '54’|0:2|Natalia Barbashina', '80’|0:3|Olga Letyushova']",,,,,,,,,,,,,,,,,"['52’|0:1|Akua Anokyewaa|for Myralyn Osei Agyemang', '58’|0:2|Alberta Sackey|for Yaa Avoe', '78’|0:2|Belinda Kanda|for Patience Sackey']","['46’|0:1|Alexandra Svetlitskaya|for Elena Denchtchik', '59’|0:2|Tatyana Skotnikova|for Tatiana Egorova', '74’|0:2|Anastasia Pustovoitova|for Marina Saenko']"
Sweden,Korea DPR,1,,,0,,,,,,,31553,"Lincoln Financial Field, Philadelphia",Tammy Ogston (Referee) · Airlie Keen (AR1) · Jacqueline Leleu (AR2) · Im Eun-ju (4th),Group stage,2003-09-25,1–0,Tammy Ogston,,United States,2003,Victoria Sandell Svensson · 7’,,['7’|1:0|Victoria Sandell Svensson'],,,,,,,,,,,,,,,,['52’|1:0|Karolina Westberg'],['56’|1:0|Jang Ok-gyong'],"['56’|1:0|Anna Sjöström|for Linda Fagerström', '65’|1:0|Kristin Bengtsson|for Malin Andersson', '86’|1:0|Josefine Öqvist|for Hanna Ljungberg']","['36’|1:0|Ho Sun-hui|for Yun Yong-hui', '55’|1:0|Yun In-sil|for Sin Kum-ok', '62’|1:0|Song Jong-sun|for Ra Mi-ae']"
United States,Nigeria,5,,,0,,,,,,,31553,"Lincoln Financial Field, Philadelphia",Florencia Romano (Referee) · Sabrina Lois (AR1) · Alejandra Cercato (AR2) · Im Eun-ju (4th),Group stage,2003-09-25,5–0,Florencia Romano,,United States,2003,Mia Hamm · 12’|Cindy Parlow Cone · 47’|Abby Wambach · 65’,,"['12’|2:0|Mia Hamm', '47’|3:0|Cindy Parlow Cone', '65’|4:0|Abby Wambach']",,,,Mia Hamm (P) · 6’|Julie Foudy (P) · 89’,,,,,,,,,,,,,['76’|4:0|Florence Omagbemi'],"['46’|2:0|Abby Wambach|for Aly Wagner', '57’|3:0|Tiffeny Milbrett|for Cindy Parlow Cone', '71’|4:0|Tiffany Roberts|for Shannon Boxx']",
China PR,Australia,1,,,1,,,,,,,13929,"The Home Depot Center, Carson",Katriina Elovirta (Referee) · Emilia Parviainen (AR1) · Andi Regan (AR2) · Jennifer Bennett (4th),Group stage,2003-09-25,1–1,Katriina Elovirta,,United States,2003,Bai Jie · 46’,Heather Garriock · 28’,['46’|1:1|Bai Jie'],['28’|0:1|Heather Garriock'],,,,,,,,,,,,,,,['55’|1:1|Liu Ying'],"['89’|1:1|Dianne Alagich', '90+1’|1:1|Kelly Golebiowski']","['74’|1:1|Ren Liping|for Zhang Ouying', '85’|1:1|Qu Feifei|for Zhao Lihong', '90’|1:1|Teng Wei|for Bai Jie']",['76’|1:1|Bryony Duus|for Danielle Small']
Norway,Brazil,1,,,4,,,,,,,15490,"Robert F. Kennedy Memorial Stadium, Washington",Xonam Agboyi (Referee) · Perpetue Krebe (AR1) · Florence Biagui (AR2) · Sonia Denoncourt (4th),Group stage,2003-09-24,1–4,Xonam Agboyi,,United States,2003,Marianne Pettersen · 45’,Daniela Alves Lima · 26’|Rosana · 37’|Marta · 59’|Kátia · 68’,['45’|1:2|Marianne Pettersen'],"['26’|0:1|Daniela Alves Lima', '37’|0:2|Rosana', '59’|1:3|Marta', '68’|1:4|Kátia']",,,,,,,,,,,,,,,['77’|1:4|Trine Rønning'],['51’|1:2|Kóki'],"['46’|1:2|Linda Ørmen|for Anita Rapp', '74’|1:4|Lise Klaveness|for Solveig Gulbrandsen', '74’|1:4|Hege Riise|for Unni Lehn']","['80’|1:4|Cristiane|for Maycon', '88’|1:4|Rafaela|for Formiga', '90’|1:4|Priscila Faria de Oliveira|for Daniela Alves Lima']"
Germany,Japan,3,,,0,,,,,,,15490,"Columbus Crew Stadium, Columbus",Sueli Tortura (Referee) · Cleidy Ribeiro (AR1) · Marlei Silva (AR2) · Sandra Hunt (4th),Group stage,2003-09-24,3–0,Sueli Tortura,,United States,2003,Sandra Minnert · 23’|Birgit Prinz · 36’|Birgit Prinz · 66’,,"['23’|1:0|Sandra Minnert', '36’|2:0|Birgit Prinz', '66’|3:0|Birgit Prinz']",,,,,,,,,,,,,,,,['80’|3:0|Nia Künzer'],,"['64’|2:0|Sandra Smisek|for Stefanie Gottschlich', '72’|3:0|Linda Bresonik|for Ariane Hingst', '78’|3:0|Nia Künzer|for Bettina Wiegmann']","['56’|2:0|Eriko Arakawa|for Yayoi Kobayashi', '56’|2:0|Miyuki Yanagita|for Tomoe Kato', '60’|2:0|Hiromi Ikeda|for Kyoko Yano']"
France,Korea Republic,1,,,0,,,,,,,16316,"Robert F. Kennedy Memorial Stadium, Washington",Dongqing Zhang (Referee) · Hsiu Mei Liu (AR1) · Hisae Yoshizawa (AR2) · Sonia Denoncourt (4th),Group stage,2003-09-24,1–0,Dongqing Zhang,,United States,2003,Marinette Pichon · 84’,,['84’|1:0|Marinette Pichon'],,,,,,,,,,,,,,,,"['37’|0:0|Élodie Woock', '65’|0:0|Corinne Diacre']","['45’|0:0|Yoo Young-sil', '83’|0:0|Lee Myung-hwa']","['68’|0:0|Laëtitia Tonazzi|for Stéphanie Mugneret-Béghé', '81’|0:0|Emmanuelle Sykora|for Anne-Laure Casseleux', '89’|1:0|Virginie Dessalle|for Élodie Woock']","['75’|0:0|Lee Myung-hwa|for Kim Kyul-sil', '83’|0:0|Jin Suk-hee|for Yoo Young-sil', '85’|1:0|Kim Ju-hee|for Shin Sun-nam']"
Canada,Argentina,3,,,0,,,,,,,15529,"Columbus Crew Stadium, Columbus",Nicole Petignat (Referee) · Elke Luethi (AR1) · Nelly Viennot (AR2) · Sandra Hunt (4th),Group stage,2003-09-24,3–0,Nicole Petignat,,United States,2003,Christine Latham · 79’|Christine Latham · 82’,,"['79’|2:0|Christine Latham', '82’|3:0|Christine Latham']",,,,Charmaine Hooper (P) · 19’,,,,,,,,,,,,"['41’|1:0|Diana Matheson', '62’|1:0|Rhian Wilkinson', '86’|3:0|Sasha Andrews']",['29’|1:0|Mariela Ricotti'],"['75’|1:0|Silvana Burtini|for Rhian Wilkinson', '83’|3:0|Sasha Andrews|for Christine Latham']","['75’|1:0|Karina Alvariza|for María Villanueva', '78’|1:0|Noelia López|for Mariela Ricotti', '84’|3:0|Yanina Gaitán|for Mariela Coronel']"
United States,Sweden,3,,,1,,,,,,,35000,"Robert F. Kennedy Memorial Stadium, Washington",Dongqing Zhang (Referee) · Hsiu Mei Liu (AR1) · Hisae Yoshizawa (AR2) · Xonam Agboyi (4th),Group stage,2003-09-21,3–1,Dongqing Zhang,,United States,2003,Kristine Lilly · 27’|Cindy Parlow Cone · 36’|Shannon Boxx · 78’,Victoria Sandell Svensson · 58’,"['27’|1:0|Kristine Lilly', '36’|2:0|Cindy Parlow Cone', '78’|3:1|Shannon Boxx']",['58’|2:1|Victoria Sandell Svensson'],,,,,,,,,,,,,,,"['13’|0:0|Briana Scurry', '72’|2:1|Aly Wagner']",['90+3’|3:1|Anna Sjöström'],"['46’|2:0|Cat Whitehill|for Brandi Chastain', '56’|2:0|Tiffeny Milbrett|for Abby Wambach', '70’|2:1|Aly Wagner|for Cindy Parlow Cone']","['46’|2:0|Frida Östberg|for Therese Sjögran', '77’|2:1|Anna Sjöström|for Malin Andersson', '83’|3:1|Josefine Öqvist|for Hanna Ljungberg']"
Brazil,Korea Republic,3,,,0,,,,,,,34144,"Robert F. Kennedy Memorial Stadium, Washington",Tammy Ogston (Referee) · Irina Mirt (AR1) · Katarzyna Wierzbowska (AR2) · Xonam Agboyi (4th),Group stage,2003-09-21,3–0,Tammy Ogston,,United States,2003,Kátia · 55’|Kátia · 62’,,"['55’|2:0|Kátia', '62’|3:0|Kátia']",,,,Marta (P) · 14’,,,,,,,,,,,,['2’|0:0|Formiga'],"['22’|1:0|Kim Yoo-mi', '71’|3:0|Jin Suk-hee']","['78’|3:0|Cristiane|for Maycon', '89’|3:0|Priscila Faria de Oliveira|for Formiga']","['46’|1:0|Jin Suk-hee|for Kim Yoo-mi', '49’|1:0|Sung Hyun-ah|for Kim Jin-hee', '65’|3:0|Hwang In-sun|for Kim Kyul-sil']"
Australia,Russia,1,,,2,,,,,,,8500,"The Home Depot Center, Carson",Bola Abidoye (Referee) · Perpetue Krebe (AR1) · Florence Biagui (AR2) · Jennifer Bennett (4th),Group stage,2003-09-21,1–2,Bola Abidoye,,United States,2003,Kelly Golebiowski · 38’,Elena Fomina · 89’,['38’|1:0|Kelly Golebiowski'],['89’|1:2|Elena Fomina'],,Dianne Alagich (OG) · 39’,,,,,,,,,,,,,,"['83’|1:1|Elena Fomina', '87’|1:1|Olga Letyushova']","['46’|1:1|Bryony Duus|for Sacha Wainwright', '90+1’|1:2|April Mann|for Tal Karp']","['67’|1:1|Vera Stroukova|for Anastasia Pustovoitova', '68’|1:1|Tatyana Skotnikova|for Tatiana Egorova']"
China PR,Ghana,1,,,0,,,,,,,10027,"The Home Depot Center, Carson",Sonia Denoncourt (Referee) · Denise Robinson (AR1) · Lynda Bramble (AR2) · Jennifer Bennett (4th),Group stage,2003-09-21,1–0,Sonia Denoncourt,,United States,2003,Sun Wen · 29’,,['29’|1:0|Sun Wen'],,,,,,,,,,,,,,,,,['90’|1:0|Mavis Dgajmah'],"['36’|1:0|Qu Feifei|for Pan Lina', '59’|1:0|Liu Yali|for Han Duan', '88’|1:0|Ren Liping|for Zhao Lihong']","['58’|1:0|Belinda Kanda|for Yaa Avoe', '83’|1:0|Myralyn Osei Agyemang|for Alberta Sackey', '90+2’|1:0|Akua Anokyewaa|for Mavis Dgajmah']"
Norway,France,2,,,0,,,,,,,13486,"Lincoln Financial Field, Philadelphia",Kari Seitz (Referee) · Karalee Sutton (AR1) · Sharon Wheeler (AR2) · Tammy Ogston (4th),Group stage,2003-09-20,2–0,Kari Seitz,,United States,2003,Anita Rapp · 47’|Dagny Mellgren · 66’,,"['47’|1:0|Anita Rapp', '66’|2:0|Dagny Mellgren']",,,,,,,,,,,,,,,,"['86’|2:0|Anita Rapp', '90+1’|2:0|Lise Klaveness']",,"['80’|2:0|Trine Rønning|for Solveig Gulbrandsen', '89’|2:0|Hege Riise|for Unni Lehn', '90+1’|2:0|Linda Ørmen|for Marianne Pettersen']","['72’|2:0|Laëtitia Tonazzi|for Hoda Lattaf', '82’|2:0|Marie-Ange Kramo|for Stéphanie Mugneret-Béghé']"
Nigeria,Korea DPR,0,,,3,,,,,,,24347,"Lincoln Financial Field, Philadelphia",Nicole Petignat (Referee) · Elke Luethi (AR1) · Nelly Viennot (AR2) · Tammy Ogston (4th),Group stage,2003-09-20,0–3,Nicole Petignat,,United States,2003,,Jin Pyol-hui · 13’|Ri Un-gyong · 73’|Jin Pyol-hui · 88’,,"['13’|0:1|Jin Pyol-hui', '73’|0:2|Ri Un-gyong', '88’|0:3|Jin Pyol-hui']",,,,,,,,,,,,,,,"['22’|0:1|Mercy Akide', '28’|0:1|Florence Ajayi']","['25’|0:1|Ri Hyang-ok', '71’|0:1|Jon Hye-yong']","['44’|0:1|Maureen Mmadu|for Florence Omagbemi', '46’|0:1|Patience Avre|for Nkechi Egbe', '85’|0:2|Onome Ebi|for Ifeanyi Chiejine']","['57’|0:1|Pak Kyong-sun|for Yun Yong-hui', '81’|0:2|Ho Sun-hui|for Ri Kum-suk']"
Germany,Canada,4,,,1,,,,,,,16340,"Columbus Crew Stadium, Columbus",Im Eun-ju (Referee) · Soo Jin Choi (AR1) · Kum Nyo Hong (AR2) · Sandra Hunt (4th),Group stage,2003-09-20,4–1,Im Eun-ju,,United States,2003,Stefanie Gottschlich · 47’|Birgit Prinz · 75’|Kerstin Garefrekes · 90+2’,Christine Sinclair · 4’,"['47’|2:1|Stefanie Gottschlich', '75’|3:1|Birgit Prinz', '90+2’|4:1|Kerstin Garefrekes']",['4’|0:1|Christine Sinclair'],,,Bettina Wiegmann (P) · 39’,,,,,,,,,,,,"['45+1’|1:1|Linda Bresonik', '78’|3:1|Maren Meinert']","['21’|0:1|Karina LeBlanc', '38’|0:1|Charmaine Hooper']","['65’|2:1|Nia Künzer|for Ariane Hingst', '73’|2:1|Kerstin Garefrekes|for Renate Lingor']",['46’|1:1|Rhian Wilkinson|for Kara Lang']
Japan,Argentina,6,,,0,,,,,,,16404,"Columbus Crew Stadium, Columbus",Katriina Elovirta (Referee) · Emilia Parviainen (AR1) · Andi Regan (AR2) · Sandra Hunt (4th),Group stage,2003-09-20,6–0,Katriina Elovirta,,United States,2003,Homare Sawa · 13’|Homare Sawa · 38’|Emi Yamamoto · 64’|Mio Otani · 72’|Mio Otani · 75’|Mio Otani · 80’,,"['13’|1:0|Homare Sawa', '38’|2:0|Homare Sawa', '64’|3:0|Emi Yamamoto', '72’|4:0|Mio Otani', '75’|5:0|Mio Otani', '80’|6:0|Mio Otani']",,,,,,,,,,,,,Natalia Gatti · 39’,,,,"['16’|1:0|María Villanueva', '18’|1:0|Rosana Gómez', '59’|2:0|Sabrina Barbitta']","['57’|2:0|Eriko Arakawa|for Yayoi Kobayashi', '73’|4:0|Hiromi Ikeda|for Yasuyo Yamagishi', '80’|6:0|Karina Maruyama|for Homare Sawa']","['46’|2:0|Karina Alvariza|for María Villanueva', '46’|2:0|Valeria Cotelo|for Rosana Gómez', '76’|5:0|Noelia López|for Mariela Ricotti']"
Norway,Brazil,0,,4,0,,5,,,,,90185,"Rose Bowl, Pasadena",Im Eun-ju (Referee) · Hisae Yoshizawa (AR1) · Maria Rodriguez (AR2) · Virginia Tovar (4th),Third-place match,1999-07-10,(4) 0–0 (5),Im Eun-ju,Brazil won on penalty kicks following sudden-death extra time,United States,1999,,,,,,,,,,,"['1|1:0|Hege Riise', '3|2:0|Marianne Pettersen', '7|3:2|Brit Sandaune', '9|4:3|Solveig Gulbrandsen']","['4|2:1|Cidinha', '6|2:2|Kátia', '8|3:3|Maycon', '10|4:4|Nenê', '12|4:5|Formiga']","['5|2:1|Silje Jørgensen', '11|4:4|Ann Kristin Aarønes']",['2|1:0|Pretinha'],,,,,,['55’|0:0|Tânia Maria'],"['58’|0:0|Dagny Mellgren|for Marianne Pettersen', '62’|0:0|Ann Kristin Aarønes|for Ragnhild Gulbrandsen']",['72’|0:0|Maycon|for Suzana Ferreira da Silva']
United States,China PR,0,,5,0,,4,,,,,90185,"Rose Bowl, Pasadena",Nicole Petignat (Referee) · Ghislaine Labbe (AR1) · Ana Perez (AR2) · Katriina Elovirta (4th),Final,1999-07-10,(5) 0–0 (4),Nicole Petignat,USA won on penalty kicks following sudden-death extra time,United States,1999,,,,,,,,,,,"['2|1:1|Carla Overbeck', '4|2:2|Joy Fawcett', '6|3:2|Kristine Lilly', '8|4:3|Mia Hamm', '10|5:4|Brandi Chastain']","['1|0:1|Xie Huilin', '3|1:2|Qiu Haiyan', '7|3:3|Zhang Ouying', '9|4:4|Sun Wen']",,['5|2:2|Liu Ying'],,,,,['74’|0:0|Michelle Akers'],"['70’|0:0|Zhang Ouying', '80’|0:0|Liu Ailing']","['57’|0:0|Shannon MacMillan|for Cindy Parlow Cone', '91’|0:0|Sara Whalen|for Michelle Akers', '115’|0:0|Tisha Venturini|for Tiffeny Milbrett']","['59’|0:0|Zhang Ouying|for Pu Wei', '114’|0:0|Qiu Haiyan|for Zhao Lihong', '119’|0:0|Xie Huilin|for Jin Yan']"
United States,Brazil,2,,,0,,,,,,,73123,"Stanford Stadium, Stanford",Katriina Elovirta (Referee) · Hisae Yoshizawa (AR1) · Ghislaine Labbe (AR2) · Nicole Petignat (4th),Semi-finals,1999-07-04,2–0,Katriina Elovirta,,United States,1999,Cindy Parlow Cone · 5’,,['5’|1:0|Cindy Parlow Cone'],,,,Michelle Akers (P) · 80’,,,,,,,,,,,,['90’|2:0|Michelle Akers'],"['13’|1:0|Tânia Maria', '41’|1:0|Sissi', '90+2’|2:0|Kátia']","['62’|1:0|Shannon MacMillan|for Cindy Parlow Cone', '85’|2:0|Lorrie Fair|for Mia Hamm', '88’|2:0|Danielle Fotopoulos|for Tiffeny Milbrett']",['70’|1:0|Maycon|for Suzana Ferreira da Silva']
Norway,China PR,0,,,4,,,,,,,28986,"Foxboro Stadium, Foxborough",Sonia Denoncourt (Referee) · Maria Rodriguez (AR1) · Ana Perez (AR2) · Virginia Tovar (4th),Semi-finals,1999-07-04,0–4,Sonia Denoncourt,,United States,1999,,Sun Wen · 3’|Liu Ailing · 14’|Liu Ailing · 51’|Fan Yunjie · 65’,,"['3’|0:1|Sun Wen', '14’|0:2|Liu Ailing', '51’|0:3|Liu Ailing', '65’|0:4|Fan Yunjie']",,,,Sun Wen (P) · 72’,,,,,,,,,,,,,"['46’|0:2|Ragnhild Gulbrandsen|for Unni Lehn', '46’|0:2|Dagny Mellgren|for Ann Kristin Aarønes', '76’|0:5|Tone Gunn Frustøl|for Monica Knudsen']","['76’|0:5|Zhang Ouying|for Pu Wei', '78’|0:5|Qiu Haiyan|for Zhao Lihong']"
United States,Germany,3,,,2,,,,,,,54642,"Jack Kent Cooke Stadium, Landover",Martha Toro (Referee) · Ana Perez (AR1) · Corrie Kruithof (AR2) · Gitte Nielsen (4th),Quarter-finals,1999-07-01,3–2,Martha Toro,,United States,1999,Tiffeny Milbrett · 16’|Brandi Chastain · 49’|Joy Fawcett · 66’,Bettina Wiegmann · 45+1’,"['16’|1:1|Tiffeny Milbrett', '49’|2:2|Brandi Chastain', '66’|3:2|Joy Fawcett']",['45+1’|1:2|Bettina Wiegmann'],,Brandi Chastain (OG) · 5’,,,,,,,,,,,,,,['53’|2:2|Doris Fitschen'],"['65’|2:2|Shannon MacMillan|for Julie Foudy', '73’|3:2|Lorrie Fair|for Brandi Chastain', '85’|3:2|Tiffany Roberts|for Cindy Parlow Cone']","['53’|2:2|Monika Meyer|for Pia Wunderlich', '84’|3:2|Renate Lingor|for Sandra Smisek', '90+2’|3:2|Melanie Hoffmann|for Inka Grings']"
Brazil,Nigeria,4,,,3,,,,,,,54642,"Jack Kent Cooke Stadium, Landover",Virginia Tovar (Referee) · Maria Rodriguez (AR1) · Jackeline Saez (AR2) · Sonia Denoncourt (4th),Quarter-finals,1999-07-01,4–3,Virginia Tovar,Required Extra Time,United States,1999,Cidinha · 4’|Cidinha · 22’|Nenê · 35’|Sissi · 104’,Prisca Emeafu · 63’|Nkiru Okosieme · 72’|Nkechi Egbe · 85’,"['4’|1:0|Cidinha', '22’|2:0|Cidinha', '35’|3:0|Nenê', '104’|4:3|Sissi']","['63’|3:1|Prisca Emeafu', '72’|3:2|Nkiru Okosieme', '85’|3:3|Nkechi Egbe']",,,,,,,,,,,,Patience Avre · 87’,,,['81’|3:2|Suzana Ferreira da Silva'],"['12’|1:0|Rita Nwadike', '28’|2:0|Florence Omagbemi', '102’|3:3|Adanna Nwaneri']",['66’|3:1|Maycon|for Raquel de Souza Noronha'],"['26’|2:0|Florence Ajayi|for Ifeanyi Chiejine', '40’|3:0|Judith Chime|for Ann Chiejine', '77’|3:2|Adanna Nwaneri|for Yinka Kudaisi']"
China PR,Russia,2,,,0,,,,,,,21411,"Spartan Stadium, San Jose",Nicole Petignat (Referee) · Boni Bishop (AR1) · Comfort Cofie (AR2) · Tammy Ogston (4th),Quarter-finals,1999-06-30,2–0,Nicole Petignat,,United States,1999,Pu Wei · 37’|Jin Yan · 56’,,"['37’|1:0|Pu Wei', '56’|2:0|Jin Yan']",,,,,,,,,,,,,,,,['90+2’|2:0|Qiu Haiyan'],['35’|0:0|Tatiana Cheverda'],"['80’|2:0|Qiu Haiyan|for Pu Wei', '89’|2:0|Zhang Ouying|for Jin Yan']","['46’|1:0|Elena Fomina|for Tatiana Egorova', '68’|2:0|Larisa Savina|for Natalia Barbashina', '88’|2:0|Alexandra Svetlitskaya|for Galina Komarova']"
Norway,Sweden,3,,,1,,,,,,,21411,"Spartan Stadium, San Jose",Im Eun-ju (Referee) · Maria Rodriguez (AR1) · Ghislaine Labbe (AR2) · Katriina Elovirta (4th),Quarter-finals,1999-06-30,3–1,Im Eun-ju,,United States,1999,Ann Kristin Aarønes · 51’|Marianne Pettersen · 58’,Malin Moström · 90+1’,"['51’|1:0|Ann Kristin Aarønes', '58’|2:0|Marianne Pettersen']",['90+1’|3:1|Malin Moström'],,,Hege Riise (P) · 72’,,,,,,,,,,,,['55’|1:0|Solveig Gulbrandsen'],,"['46’|0:0|Solveig Gulbrandsen|for Tone Gunn Frustøl', '77’|3:0|Dagny Mellgren|for Unni Lehn', '81’|3:0|Anita Rapp|for Ann Kristin Aarønes']","['46’|0:0|Therese Lundin|for Kristin Bengtsson', '72’|2:0|Jessika Sundh|for Malin Gustafsson', '81’|3:0|Minna Heponiemi|for Tina Nordlund']"
